Order	PID	MS SubClass	SalePrice
1	0526301100	020	215000
2	0526350040	020	105000
3	0526351010	020	172000
4	0526353030	020	244000
5	0527105010	060	189900
6	0527105030	060	195500
7	0527127150	120	213500
8	0527145080	120	191500
9	0527146030	120	236500
10	0527162130	060	189000
11	0527163010	060	175900
12	0527165230	020	185000
13	0527166040	060	180400
14	0527180040	020	171500
15	0527182190	120	212000
16	0527216070	060	538000
17	0527225035	050	164000
18	0527258010	020	394432
19	0527276150	020	141000
20	0527302110	020	210000
21	0527358140	020	190000
22	0527358200	085	170000
23	0527368020	060	216000
24	0527402200	020	149000
25	0527402250	020	149900
26	0527403020	020	142000
27	0527404120	020	126000
28	0527425090	020	115000
29	0527427230	120	184000
30	0527451180	160	96000
31	0527451330	160	105500
32	0527451410	160	88000
33	0527452190	120	127500
34	0527453130	160	149900
35	0527453150	120	120000
36	0527454200	160	146000
37	0528108120	060	376162
38	0528112020	020	306000
39	0528120060	020	395192
40	0528120090	020	290941
41	0528120100	020	220000
42	0528120120	020	275000
43	0528138020	020	259000
44	0528138060	020	214000
45	0528150070	020	611657
46	0528175010	120	224000
47	0528176010	020	500000
48	0528176070	060	320000
49	0528180070	120	319900
50	0528181050	120	205000
51	0528188120	160	175500
52	0528218150	020	199500
53	0528228285	120	160000
54	0528228440	120	192000
55	0528231020	080	184500
56	0528240070	060	216500
57	0528240130	060	185088
58	0528250100	080	180000
59	0528292020	060	222500
60	0528328100	060	333168
61	0528344070	060	355000
62	0528358010	020	260400
63	0528363130	060	325000
64	0528382020	060	290000
65	0528382030	060	221000
66	0528386040	050	410000
67	0528445060	020	221500
68	0528456160	020	204500
69	0528458070	060	215200
70	0528458110	020	262500
71	0528477080	060	254900
72	0528480090	020	271500
73	0531367050	060	233000
74	0531369060	060	181000
75	0531380080	060	205000
76	0531451110	120	143000
77	0531451280	060	189000
78	0531452020	120	99500
79	0531452050	120	125000
80	0531452180	060	194500
81	0531453010	020	152000
82	0531453040	060	171000
83	0531477050	030	67500
84	0532351140	090	112000
